日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-07-09,8.07,9.73,9.73,8.07,2894,2881160.0,24.85,45.66,3.05,0.43
2021-07-12,10.73,10.73,10.73,10.73,1134,1245275.0,0.0,10.28,1.0,0.17
2021-07-13,11.83,11.83,11.83,11.83,963,1163546.0,0.0,10.25,1.1,0.14
2021-07-14,13.04,13.04,13.04,13.04,1879,2496952.0,0.0,10.23,1.21,0.28
2021-07-15,14.37,14.37,14.37,14.37,2437,3562982.0,0.0,10.2,1.33,0.37
2021-07-16,15.83,15.83,15.83,15.83,3409,5482380.0,0.0,10.16,1.46,0.51
2021-07-19,17.44,17.44,17.44,17.44,3389,5995336.0,0.0,10.17,1.61,0.51
2021-07-20,19.21,19.21,19.21,19.21,4514,8783582.0,0.0,10.15,1.77,0.68
2021-07-21,21.16,21.16,21.16,21.16,34665,74216802.0,0.0,10.15,1.95,5.2
2021-07-22,23.3,23.3,23.3,23.3,14373,33847638.0,0.0,10.11,2.14,2.16
2021-07-23,25.66,25.66,25.66,25.66,6198,16058629.0,0.0,10.13,2.36,0.93
2021-07-26,28.25,28.25,28.25,28.25,11861,33805076.0,0.0,10.09,2.59,1.78
2021-07-27,31.1,31.1,31.1,31.1,108899,341397712.0,0.0,10.09,2.85,16.33
2021-07-28,30.74,34.24,34.24,29.26,520314,1689906432.0,16.01,10.1,3.14,78.04
2021-07-29,37.61,37.69,37.69,32.69,456535,1698644528.0,14.6,10.08,3.45,68.48
2021-07-30,34.9,33.9,38.75,33.9,278094,1009286784.0,12.87,-10.06,-3.79,41.71
2021-08-02,33.85,35.79,36.53,32.85,265918,934619600.0,10.86,5.58,1.89,39.89
2021-08-03,35.05,33.46,37.71,32.19,239767,836149824.0,15.42,-6.51,-2.33,35.96
2021-08-04,33.05,34.25,35.05,32.79,190069,652102688.0,6.75,2.36,0.79,28.51
2021-08-05,33.95,30.85,34.05,30.8,236123,747031392.0,9.49,-9.93,-3.4,35.42
2021-08-06,31.14,32.39,33.07,29.47,201573,640759360.0,11.67,4.99,1.54,30.23
2021-08-09,32.15,35.65,35.65,32.0,216047,738485312.0,11.27,10.06,3.26,32.41
2021-08-10,38.25,39.24,39.24,37.82,61060,237635278.0,3.98,10.07,3.59,9.16
2021-08-11,43.19,43.19,43.19,43.19,7495,32560104.0,0.0,10.07,3.95,1.12
2021-08-12,43.2,44.71,47.53,39.83,318940,1411853648.0,17.83,3.52,1.52,47.84
2021-08-13,43.75,46.49,49.09,41.67,257102,1171307600.0,16.6,3.98,1.78,38.56
