日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-07-15,12.06,14.47,14.47,12.06,13232,19089833.0,23.98,43.98,4.42,3.31
2022-07-18,15.92,15.92,15.92,15.92,2529,4026248.0,0.0,10.02,1.45,0.63
2022-07-19,17.51,17.51,17.51,17.51,1790,3134553.0,0.0,9.99,1.59,0.45
2022-07-20,19.26,19.26,19.26,19.26,2188,4213645.0,0.0,9.99,1.75,0.55
2022-07-21,21.19,21.19,21.19,21.19,17207,36461654.0,0.0,10.02,1.93,4.3
2022-07-22,23.31,23.31,23.31,23.31,27131,63242291.0,0.0,10.0,2.12,6.78
2022-07-25,25.64,25.64,25.64,25.64,14513,37212332.0,0.0,10.0,2.33,3.63
2022-07-26,28.2,28.2,28.2,28.2,5962,16813912.0,0.0,9.98,2.56,1.49
2022-07-27,31.02,31.02,31.02,31.02,7192,22308995.0,0.0,10.0,2.82,1.8
2022-07-28,34.12,34.12,34.12,34.12,50947,173831710.0,0.0,9.99,3.1,12.73
2022-07-29,33.9,30.74,35.84,30.71,319506,1051056496.0,15.04,-9.91,-3.38,79.86
2022-08-01,30.0,30.0,32.33,29.48,173854,539805121.0,9.27,-2.41,-0.74,43.45
2022-08-02,30.0,28.6,30.81,27.61,167673,488890547.0,10.67,-4.67,-1.4,41.91
2022-08-03,29.74,29.0,30.58,28.8,140978,419768607.0,6.22,1.4,0.4,35.24
2022-08-04,28.33,28.61,28.9,27.0,126268,352512917.0,6.55,-1.34,-0.39,31.56
2022-08-05,28.68,29.78,31.0,28.52,133195,395595345.0,8.67,4.09,1.17,33.29
2022-08-08,29.29,29.86,31.23,29.29,114633,347575066.0,6.51,0.27,0.08,28.65
2022-08-09,29.89,30.5,30.5,28.04,100216,291751385.0,8.24,2.14,0.64,25.05
2022-08-10,29.84,30.3,30.68,29.32,92168,276390408.0,4.46,-0.66,-0.2,23.04
2022-08-11,30.18,28.83,30.64,28.77,103741,308795336.0,6.17,-4.85,-1.47,25.93
2022-08-12,28.12,28.18,28.82,27.59,75102,211594281.0,4.27,-2.25,-0.65,18.77
2022-08-15,28.34,27.8,28.6,27.62,56732,159510340.0,3.48,-1.35,-0.38,14.18
2022-08-16,27.45,28.45,28.7,25.9,131961,360372312.0,10.07,2.34,0.65,32.98
2022-08-17,28.49,28.24,29.27,28.0,94677,271828597.0,4.46,-0.74,-0.21,23.66
2022-08-18,27.3,27.09,27.96,26.78,68468,186554058.0,4.18,-4.07,-1.15,17.11
2022-08-19,27.02,27.1,27.8,26.58,67674,183598107.0,4.5,0.04,0.01,16.91
2022-08-22,26.7,27.01,27.27,25.93,54424,144204307.0,4.94,-0.33,-0.09,13.6
2022-08-23,27.0,26.7,27.3,26.68,40799,110063402.0,2.3,-1.15,-0.31,10.2
2022-08-24,26.35,25.5,27.0,25.5,38590,100929159.0,5.62,-4.49,-1.2,9.64
2022-08-25,25.6,25.13,25.8,24.6,33263,83721130.0,4.71,-1.45,-0.37,8.31
2022-08-26,25.15,26.01,27.6,25.01,48204,126689960.0,10.31,3.5,0.88,12.05
2022-08-29,25.32,27.62,28.61,25.32,135544,377171875.0,12.65,6.19,1.61,33.88
2022-08-30,27.1,27.83,29.3,26.6,113856,315124901.0,9.78,0.76,0.21,28.46
2022-08-31,27.44,28.18,29.22,27.44,107984,306567273.0,6.4,1.26,0.35,26.99
2022-09-01,29.05,28.67,29.09,27.5,95763,271734193.0,5.64,1.74,0.49,23.93
2022-09-02,28.1,27.53,28.46,26.66,92826,255060829.0,6.28,-3.98,-1.14,23.2
2022-09-05,27.17,26.16,27.22,25.81,65305,172945955.0,5.12,-4.98,-1.37,16.32
2022-09-06,26.16,25.72,26.38,25.36,47208,121469428.0,3.9,-1.68,-0.44,11.8
2022-09-07,25.69,25.92,26.29,25.4,46033,119037945.0,3.46,0.78,0.2,11.51
2022-09-08,25.75,24.36,26.09,24.2,84141,209598785.0,7.29,-6.02,-1.56,21.03
2022-09-09,24.36,24.58,24.58,23.58,53404,128351760.0,4.11,0.9,0.22,13.35
